Dahili_uydu_alici,Ekran_Boyutu,Garanti_Tipi,Goruntu_Kalitesi,Goruntuleme_Teknolojisi,Smart_TV,Cozunurluk,Fiyat
0,4,9,0,5,0,6,34379.0
0,4,15,0,2,0,3,18750.0
0,4,3,3,2,0,2,7289.99
0,3,15,4,2,1,6,2940.96
0,4,4,0,2,0,3,17499.0
0,4,15,0,1,0,6,10800.0
0,4,16,0,2,1,3,20250.0
0,1,16,1,4,0,5,239900.0
0,4,15,0,2,0,3,14999.0
0,3,11,4,2,0,1,4599.0
0,1,16,0,2,0,3,34999.0
0,3,1,4,2,1,1,5449.0
0,1,22,0,2,1,3,15899.0
0,4,15,0,2,0,3,19999.0
0,4,22,0,1,0,6,19749.0
0,4,9,0,2,0,6,15999.0
0,4,22,0,2,0,3,11199.0
0,4,14,3,2,0,2,8750.0
0,4,15,1,4,0,5,55900.0
1,3,15,4,2,1,1,2699.0
0,4,22,0,1,0,3,18000.0
0,1,16,0,4,0,3,46999.0
0,3,22,4,2,0,1,6036.99
0,4,9,0,2,0,3,26700.0
1,1,15,0,2,0,3,23499.0
0,4,16,0,4,0,3,24999.0
0,3,15,4,2,1,1,3999.0
0,4,1,0,2,0,3,18599.0
0,4,16,0,3,0,3,35900.0
0,4,15,3,2,0,2,7799.0
0,4,22,0,1,0,3,14599.0
0,4,15,0,2,0,3,9989.0
0,4,15,0,2,0,6,11949.0
1,4,8,0,2,0,6,18399.0
0,4,23,0,2,0,3,21000.0
0,1,19,4,2,0,3,17999.0
0,4,8,0,2,0,5,19499.0
0,4,12,0,2,0,3,18429.03
0,4,22,0,2,0,3,13999.0
0,4,7,0,2,0,3,17500.0
0,4,15,0,1,0,2,12750.0
0,4,22,0,2,0,3,11499.0
0,4,9,0,2,0,3,19290.0
0,2,15,0,1,0,6,25000.0
0,4,8,0,2,0,6,10789.0
0,4,22,0,4,0,3,14899.0
0,4,15,0,2,0,3,15598.0
1,3,23,4,2,0,1,11999.0
0,4,5,0,0,0,6,14999.0
0,4,16,0,2,0,6,29018.0
0,4,1,0,2,0,6,24499.0
0,4,15,0,2,0,3,25449.0
0,3,11,3,2,0,6,12999.0
0,1,1,0,3,0,4,44499.0
0,4,15,3,2,0,6,11200.0
0,4,1,0,2,0,3,24399.0
0,4,9,0,2,0,3,22990.0
0,4,15,3,2,0,1,7499.0
1,3,15,4,2,1,6,4498.0
0,4,15,0,2,0,3,23000.0
0,3,2,4,2,1,1,3799.0
0,3,4,3,2,0,6,6839.0
0,1,22,0,4,0,6,27999.0
0,4,11,3,2,0,2,6999.0
0,1,15,0,2,0,6,20599.0
0,4,15,0,3,0,6,37499.0
0,1,1,0,2,0,3,35359.0
0,1,8,0,2,0,6,32999.0
0,2,23,3,2,1,6,23499.26
0,1,15,1,4,0,6,73699.0
0,3,1,4,2,1,1,6599.0
0,4,1,0,2,0,3,20000.0
0,4,15,0,2,0,6,32599.0
0,4,22,0,2,0,3,13999.0
0,1,16,0,4,0,6,44100.0
0,4,17,3,1,0,3,13806.45
0,3,10,4,2,0,1,4799.0
0,4,15,0,3,0,6,36549.0
0,1,22,0,4,0,3,24133.23
1,3,16,4,2,1,6,10799.0
1,3,22,4,2,0,6,5900.0
0,3,23,4,2,0,1,3830.0
0,3,21,4,2,1,1,3599.0
0,1,22,0,2,0,3,30319.0
1,3,15,4,1,0,6,4899.0
0,4,20,3,2,0,6,12499.0
0,1,9,1,3,0,6,303099.0
1,4,16,0,3,0,6,56305.0
0,1,9,0,2,0,3,34990.0
0,4,22,0,2,0,3,6999.9
0,4,15,0,2,0,3,11499.0
0,1,22,0,3,0,3,44800.0
0,1,17,0,1,0,3,24899.0
0,4,0,0,2,0,3,8499.0
0,4,22,0,2,0,3,12450.0
0,4,22,0,4,0,3,13999.0
0,1,5,0,3,0,6,42899.0
0,4,22,0,2,0,3,12800.0
0,4,15,3,2,0,6,6199.0
0,1,15,0,2,0,6,78999.0
0,4,15,0,2,0,6,10468.0
0,3,15,4,2,0,6,9821.99
0,4,12,0,2,0,3,27900.0
0,4,1,0,2,0,3,18000.0
0,4,15,0,2,0,3,19999.0
0,3,22,4,2,1,1,3999.0
0,4,22,0,3,0,3,11999.0
0,4,5,3,2,0,6,8899.0
0,4,22,0,2,0,3,13999.0
0,4,15,0,2,0,3,12699.0
0,4,19,0,2,0,3,12999.0
0,4,1,0,2,0,2,18999.0
0,4,19,0,2,0,3,12500.0
0,4,15,4,2,1,1,5499.9
0,4,12,0,2,0,3,30500.0
0,3,4,4,2,1,0,5349.0
0,4,1,3,2,0,2,10499.0
0,4,12,3,2,0,2,11842.33
0,1,15,0,4,0,3,40999.0
0,4,4,3,2,1,6,10899.0
0,1,9,0,4,0,6,57689.0
0,4,22,0,2,0,3,16999.0
1,1,16,0,4,0,3,70899.0
0,4,5,0,4,0,6,11999.0
0,4,8,0,2,0,6,18000.0
0,1,12,0,2,0,3,31999.0
1,0,15,2,2,1,6,13399.0
0,1,17,3,1,0,3,19350.45
0,4,15,0,2,0,6,12690.0
0,4,15,0,2,0,6,17950.0
0,4,5,0,4,0,6,11500.0
0,4,5,3,2,1,6,7500.0
1,1,12,0,2,0,3,62999.0
0,4,9,0,2,0,6,24599.0
0,4,5,3,0,0,6,10400.0
1,4,9,0,3,0,6,63129.99
0,3,17,4,2,1,1,3499.0
0,3,19,4,2,1,1,4299.0
0,1,12,0,3,0,6,80000.0
0,4,21,0,2,0,3,11500.0
0,4,22,0,1,0,3,8499.0
0,1,4,0,2,0,3,25300.0
0,3,3,4,2,0,1,4979.0
0,1,8,0,2,0,3,29999.0
0,1,9,0,3,0,3,162609.0
0,3,19,4,2,1,1,3800.0
0,4,15,0,2,0,6,16738.0
0,1,9,0,3,0,3,162609.0
0,3,19,4,2,1,1,3800.0
0,4,15,0,2,0,6,16738.0
0,3,15,3,2,1,6,3490.0
0,4,8,0,2,0,3,11999.0
0,4,5,0,4,0,6,32758.61
0,1,22,3,2,0,3,29800.0
0,3,17,4,2,1,6,2999.0
0,4,5,0,3,0,6,49699.0
0,3,12,4,2,1,1,6790.0
0,4,12,0,2,0,3,27399.0
0,4,15,0,2,0,3,16350.0
0,2,15,3,2,0,3,84999.0
0,4,5,0,2,0,6,10199.0
0,1,1,0,2,0,3,32500.0
0,1,12,0,3,0,6,60000.0
0,4,5,0,2,0,6,11700.0
0,4,12,3,2,1,2,10990.0
1,3,15,0,2,0,3,16500.0
0,4,23,3,2,0,6,6479.0
0,4,15,0,2,0,6,10199.0
0,1,22,0,4,0,3,26319.0
0,4,9,0,2,0,3,19994.0
0,4,19,3,2,0,2,7200.0
0,4,3,0,2,0,6,10414.99
0,3,1,4,2,0,1,9199.0
0,3,15,3,2,0,2,6899.0
0,1,12,0,2,0,6,42499.0
0,1,15,0,2,0,6,78999.0
0,4,22,0,2,0,3,12749.0
0,4,7,0,1,0,3,14999.0
0,4,1,0,2,0,3,18000.0
0,3,15,4,2,1,1,3799.0
0,1,16,0,4,0,3,60990.0
0,3,22,3,2,0,3,13999.0
0,1,22,0,2,0,3,21699.0
0,1,17,0,1,0,3,24899.0
0,4,15,0,2,0,3,14500.0
0,3,1,4,2,0,1,5899.0
0,1,9,0,5,0,3,78499.0
0,4,12,3,2,1,6,9900.0
